equation,solution
117*x + 179,117*x**2/2 + 179*x
-862*x - 617,-431*x**2 - 617*x
614*x - 788,307*x**2 - 788*x
877*x + 443,877*x**2/2 + 443*x
363*x - 177,363*x**2/2 - 177*x
-500*x - 459,-250*x**2 - 459*x
-201*x - 663,-201*x**2/2 - 663*x
738*x - 997,369*x**2 - 997*x
-524*x - 407,-262*x**2 - 407*x
653*x + 950,653*x**2/2 + 950*x
663*x + 997,663*x**2/2 + 997*x
924 - 444*x,-222*x**2 + 924*x
767*x + 874,767*x**2/2 + 874*x
26*x - 653,13*x**2 - 653*x
930 - 179*x,-179*x**2/2 + 930*x
230 - 46*x,-23*x**2 + 230*x
482 - 713*x,-713*x**2/2 + 482*x
-332*x - 169,-166*x**2 - 169*x
815*x - 202,815*x**2/2 - 202*x
575*x - 182,575*x**2/2 - 182*x
103 - 676*x,-338*x**2 + 103*x
648*x - 72,324*x**2 - 72*x
166 - 232*x,-116*x**2 + 166*x
340*x - 807,170*x**2 - 807*x
462*x + 941,231*x**2 + 941*x
272*x - 974,136*x**2 - 974*x
453 - 471*x,-471*x**2/2 + 453*x
-513*x - 987,-513*x**2/2 - 987*x
695*x + 908,695*x**2/2 + 908*x
811*x - 497,811*x**2/2 - 497*x
-550*x - 545,-275*x**2 - 545*x
748*x - 915,374*x**2 - 915*x
525 - 508*x,-254*x**2 + 525*x
922 - 494*x,-247*x**2 + 922*x
307*x - 932,307*x**2/2 - 932*x
719 - 226*x,-113*x**2 + 719*x
97*x + 558,97*x**2/2 + 558*x
435 - 913*x,-913*x**2/2 + 435*x
721*x + 57,721*x**2/2 + 57*x
99*x + 176,99*x**2/2 + 176*x
248*x - 948,124*x**2 - 948*x
189*x - 389,189*x**2/2 - 389*x
429 - 235*x,-235*x**2/2 + 429*x
555*x + 94,555*x**2/2 + 94*x
440*x + 966,220*x**2 + 966*x
635 - 456*x,-228*x**2 + 635*x
499 - 251*x,-251*x**2/2 + 499*x
436 - 713*x,-713*x**2/2 + 436*x
186 - 118*x,-59*x**2 + 186*x
62*x - 233,31*x**2 - 233*x
126 - 670*x,-335*x**2 + 126*x
265*x + 966,265*x**2/2 + 966*x
433 - 499*x,-499*x**2/2 + 433*x
6*x - 842,3*x**2 - 842*x
-975*x - 412,-975*x**2/2 - 412*x
-817*x - 96,-817*x**2/2 - 96*x
891 - 464*x,-232*x**2 + 891*x
-870*x - 365,-435*x**2 - 365*x
813 - 655*x,-655*x**2/2 + 813*x
462 - 658*x,-329*x**2 + 462*x
-423*x - 342,-423*x**2/2 - 342*x
53*x + 877,53*x**2/2 + 877*x
324*x - 414,162*x**2 - 414*x
128*x - 852,64*x**2 - 852*x
-591*x - 298,-591*x**2/2 - 298*x
458 - 22*x,-11*x**2 + 458*x
301 - 154*x,-77*x**2 + 301*x
378 - 899*x,-899*x**2/2 + 378*x
-284*x - 353,-142*x**2 - 353*x
388 - 674*x,-337*x**2 + 388*x
-255*x - 642,-255*x**2/2 - 642*x
739 - 172*x,-86*x**2 + 739*x
772 - 174*x,-87*x**2 + 772*x
453*x + 413,453*x**2/2 + 413*x
300*x + 482,150*x**2 + 482*x
430 - 275*x,-275*x**2/2 + 430*x
61 - 331*x,-331*x**2/2 + 61*x
587*x + 629,587*x**2/2 + 629*x
311*x - 825,311*x**2/2 - 825*x
356*x - 175,178*x**2 - 175*x
819 - 125*x,-125*x**2/2 + 819*x
-556*x - 522,-278*x**2 - 522*x
244*x + 451,122*x**2 + 451*x
-995*x - 543,-995*x**2/2 - 543*x
-145*x - 299,-145*x**2/2 - 299*x
650*x - 146,325*x**2 - 146*x
-120*x - 844,-60*x**2 - 844*x
751*x - 924,751*x**2/2 - 924*x
526 - 325*x,-325*x**2/2 + 526*x
706 - 210*x,-105*x**2 + 706*x
-881*x - 933,-881*x**2/2 - 933*x
-273*x - 876,-273*x**2/2 - 876*x
478 - 798*x,-399*x**2 + 478*x
-910*x - 329,-455*x**2 - 329*x
929 - 856*x,-428*x**2 + 929*x
-504*x - 839,-252*x**2 - 839*x
-616*x - 435,-308*x**2 - 435*x
719*x - 377,719*x**2/2 - 377*x
675*x + 18,675*x**2/2 + 18*x
693*x + 564,693*x**2/2 + 564*x
617*x + 527,617*x**2/2 + 527*x
355*x + 142,355*x**2/2 + 142*x
834 - 672*x,-336*x**2 + 834*x
832*x - 238,416*x**2 - 238*x
75*x - 440,75*x**2/2 - 440*x
522*x + 705,261*x**2 + 705*x
401*x + 379,401*x**2/2 + 379*x
993 - 363*x,-363*x**2/2 + 993*x
-18*x - 582,-9*x**2 - 582*x
722*x - 310,361*x**2 - 310*x
871 - 111*x,-111*x**2/2 + 871*x
-183*x - 429,-183*x**2/2 - 429*x
410 - 749*x,-749*x**2/2 + 410*x
175*x + 491,175*x**2/2 + 491*x
429*x - 325,429*x**2/2 - 325*x
362*x + 148,181*x**2 + 148*x
161*x - 467,161*x**2/2 - 467*x
-450*x - 211,-225*x**2 - 211*x
966*x + 530,483*x**2 + 530*x
90*x + 354,45*x**2 + 354*x
-235*x - 927,-235*x**2/2 - 927*x
178*x + 212,89*x**2 + 212*x
930 - 244*x,-122*x**2 + 930*x
-552*x - 882,-276*x**2 - 882*x
835 - 881*x,-881*x**2/2 + 835*x
575*x - 187,575*x**2/2 - 187*x
840 - 582*x,-291*x**2 + 840*x
929*x - 987,929*x**2/2 - 987*x
430*x + 478,215*x**2 + 478*x
616*x - 689,308*x**2 - 689*x
618*x + 657,309*x**2 + 657*x
153*x + 76,153*x**2/2 + 76*x
511*x - 891,511*x**2/2 - 891*x
190 - 468*x,-234*x**2 + 190*x
497*x + 682,497*x**2/2 + 682*x
-943*x - 969,-943*x**2/2 - 969*x
580*x - 681,290*x**2 - 681*x
532*x - 25,266*x**2 - 25*x
997 - 454*x,-227*x**2 + 997*x
554*x - 873,277*x**2 - 873*x
337*x + 819,337*x**2/2 + 819*x
-396*x - 891,-198*x**2 - 891*x
28 - 912*x,-456*x**2 + 28*x
815*x - 971,815*x**2/2 - 971*x
637 - 284*x,-142*x**2 + 637*x
744*x + 807,372*x**2 + 807*x
891*x + 470,891*x**2/2 + 470*x
592*x - 419,296*x**2 - 419*x
819 - 78*x,-39*x**2 + 819*x
152 - 567*x,-567*x**2/2 + 152*x
-426*x - 386,-213*x**2 - 386*x
-1000*x - 8,-500*x**2 - 8*x
-913*x - 613,-913*x**2/2 - 613*x
750*x - 889,375*x**2 - 889*x
757*x + 736,757*x**2/2 + 736*x
207*x - 946,207*x**2/2 - 946*x
-499*x - 376,-499*x**2/2 - 376*x
755 - 340*x,-170*x**2 + 755*x
349 - 914*x,-457*x**2 + 349*x
-408*x - 246,-204*x**2 - 246*x
422 - 298*x,-149*x**2 + 422*x
773*x - 168,773*x**2/2 - 168*x
-930*x - 476,-465*x**2 - 476*x
234*x - 721,117*x**2 - 721*x
396*x - 709,198*x**2 - 709*x
932*x + 310,466*x**2 + 310*x
783*x - 61,783*x**2/2 - 61*x
892 - 581*x,-581*x**2/2 + 892*x
205*x - 445,205*x**2/2 - 445*x
-608*x - 508,-304*x**2 - 508*x
531*x + 669,531*x**2/2 + 669*x
-143*x - 221,-143*x**2/2 - 221*x
410 - 343*x,-343*x**2/2 + 410*x
-815*x - 412,-815*x**2/2 - 412*x
287*x - 129,287*x**2/2 - 129*x
406 - 862*x,-431*x**2 + 406*x
-899*x - 636,-899*x**2/2 - 636*x
64*x + 541,32*x**2 + 541*x
917 - 343*x,-343*x**2/2 + 917*x
283 - 585*x,-585*x**2/2 + 283*x
581*x + 619,581*x**2/2 + 619*x
78*x - 298,39*x**2 - 298*x
442*x - 640,221*x**2 - 640*x
730 - 149*x,-149*x**2/2 + 730*x
-117*x - 255,-117*x**2/2 - 255*x
753 - 64*x,-32*x**2 + 753*x
422*x + 914,211*x**2 + 914*x
311*x + 496,311*x**2/2 + 496*x
768 - 864*x,-432*x**2 + 768*x
-135*x - 165,-135*x**2/2 - 165*x
114*x + 91,57*x**2 + 91*x
447 - 47*x,-47*x**2/2 + 447*x
909 - 637*x,-637*x**2/2 + 909*x
